lvl;cid;all;character_id;value_id;type;name;pos;count_chara;count_value;count_goods;count_sub;filter_status;filter_id;filter_name;filter_pos
1;20;1;;;category;Лодки;20;;;480;14;0;;;
2;21;0;;;category;Лиман (Россия);0;35;232;51;0;14;;;
;21;;80;;character;Размер сумки с лодкой;;;12;82;;0;;;
;21;;80;351;value;1.0 х 0.6 х 0.3;;;;10;;;;;
;21;;80;579;value;0.35 х 0.5 х 0.8;;;;10;;;;;
;21;;80;600;value;0.35х0.50х0.80;;;;5;;;;;
;21;;80;608;value;0.9 х 0.35 х 0.6;;;;5;;;;;
;21;;80;620;value;1 х 0.35 х 0.6;;;;10;;;;;
;21;;80;1015;value;0.95 х 0.3 х 0.6;;;;5;;;;;
;21;;80;1292;value;1.0 х 0.6 х 0.4;;;;5;;;;;
;21;;80;1297;value;1x0.6x0.4;;;;7;;;;;
;21;;80;1535;value;0.95 х 0.35 х 0.6;;;;6;;;;;
;21;;80;1669;value;0.95 х 0.35 х 0.7;;;;6;;;;;
;21;;80;2644;value;1 х 0,6 х 0,4;;;;5;;;;;
;21;;80;3366;value;1,2x0.6x0.5;;;;8;;;;;
;21;;46;;character;Длина;;;20;122;;1;4;Длина;0
;21;;46;180;value;3.2;;;;10;;;;;
;21;;46;580;value;2.6;;;;5;;;;;
;21;;46;590;value;2.60;;;;5;;;;;
;21;;46;551;value;2.8;;;;5;;;;;
;21;;46;603;value;2.80;;;;5;;;;;
;21;;46;210;value;3.0;;;;10;;;;;
;21;;46;605;value;3.00;;;;5;;;;;
;21;;46;611;value;3.1;;;;5;;;;;
;21;;46;626;value;3,15;;;;5;;;;;
;21;;46;147;value;2.9;;;;17;;;;;
;21;;46;297;value;3.4;;;;5;;;;;
;21;;46;2178;value;3,35;;;;5;;;;;
;21;;46;204;value;3.6;;;;5;;;;;
;21;;46;3301;value;3,6;;;;5;;;;;
;21;;46;1041;value;3,2;;;;2;;;;;
;21;;46;3364;value;3,5;;;;8;;;;;
;21;;46;3381;value;3,65;;;;5;;;;;
;21;;46;3313;value;3,4;;;;5;;;;;
;21;;46;220;value;3.85;;;;5;;;;;
;21;;46;3454;value;4,2;;;;5;;;;;
;21;;77;;character;Вес комплекта;;;21;122;;0;;;
;21;;77;352;value;45.0;;;;10;;;;;
;21;;77;585;value;16.0;;;;5;;;;;
;21;;77;592;value;18.0;;;;10;;;;;
;21;;77;601;value;17.0;;;;5;;;;;
;21;;77;547;value;19.0;;;;5;;;;;
;21;;77;607;value;20.0;;;;5;;;;;
;21;;77;612;value;33.0;;;;5;;;;;
;21;;77;629;value;38;;;;5;;;;;
;21;;77;208;value;43.0;;;;5;;;;;
;21;;77;3363;value;45;;;;8;;;;;
;21;;77;1017;value;25.0;;;;5;;;;;
;21;;77;1294;value;48;;;;5;;;;;
;21;;77;307;value;31.0;;;;6;;;;;
;21;;77;181;value;35.0;;;;6;;;;;
;21;;77;2176;value;40;;;;7;;;;;
;21;;77;2643;value;62.0;;;;5;;;;;
;21;;77;2527;value;51;;;;5;;;;;
;21;;77;3378;value;62;;;;5;;;;;
;21;;77;2740;value;49;;;;5;;;;;
;21;;77;2877;value;72;;;;5;;;;;
;21;;77;3452;value;80;;;;5;;;;;
;21;;48;;character;Максимальная мощность подвесного мотора;;;11;107;;1;5;Максимальная мощность подвесного мотора;30
;21;;48;54;value;15;;;;25;;;;;
;21;;48;595;value;3.5;;;;15;;;;;
;21;;48;182;value;8;;;;5;;;;;
;21;;48;618;value;9.8 л.с.;;;;5;;;;;
;21;;48;209;value;10;;;;10;;;;;
;21;;48;305;value;5;;;;5;;;;;
;21;;48;1011;value;18;;;;10;;;;;
;21;;48;149;value;6;;;;12;;;;;
;21;;48;471;value;20;;;;5;;;;;
;21;;48;202;value;25;;;;5;;;;;
;21;;48;115;value;30;;;;10;;;;;
;21;;49;;character;Грузоподъемность;;;16;122;;1;6;Грузоподъемность;30
;21;;49;353;value;440;;;;12;;;;;
;21;;49;587;value;190;;;;10;;;;;
;21;;49;597;value;210;;;;10;;;;;
;21;;49;548;value;220;;;;10;;;;;
;21;;49;613;value;400;;;;11;;;;;
;21;;49;628;value;420;;;;5;;;;;
;21;;49;633;value;410;;;;5;;;;;
;21;;49;152;value;380;;;;11;;;;;
;21;;49;707;value;480;;;;10;;;;;
;21;;49;55;value;450;;;;5;;;;;
;21;;49;207;value;550;;;;5;;;;;
;21;;49;168;value;650;;;;5;;;;;
;21;;49;2290;value;600;;;;8;;;;;
;21;;49;1426;value;570;;;;5;;;;;
